사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2021-12-01,1호선,1,서울역,769,16,"8,460","6,094","11,185","35,735","34,375","85,455","55,770","188,733","43,790","121,596","44,195","62,290","52,865","52,223","63,018","60,591","64,741","60,427","57,303","55,157","75,713","59,298","85,760","60,717","129,054","71,864","184,200","77,500","87,213","50,899","62,761","33,524","70,343","32,014","38,334","18,709","12,519","8,703",61,841,0,2,0,0,0,0,2022-01-03 10:00
2021-12-01,1호선,10,동묘앞,116,0,"2,423",756,"3,270","3,915","5,412","7,362","8,890","18,151","7,427","14,958","7,697","16,182","11,396","21,689","16,817","24,866","22,871","27,413","27,745","27,233","31,397","22,238","29,900","15,386","24,201","10,434","15,857","8,412","7,128","6,011","4,797","4,448","4,328","4,922","2,608","3,963",980,"2,491",10,"1,437",1,1,0,1,0,0,2022-01-03 10:00
2021-12-01,1호선,2,시청,37,2,"1,902","4,537","2,827","19,095","6,322","56,046","7,816","168,744","8,475","78,172","10,058","32,091","15,981","29,806","17,428","27,421","20,577","26,735","26,865","21,996","34,727","19,517","41,288","19,300","71,334","20,574","136,819","20,216","50,959","9,584","44,297","5,619","45,585","5,417","21,428","2,794","5,284","1,713",28,153,0,1,0,0,0,0,2022-01-03 10:00
2021-12-01,1호선,3,종각,105,0,"2,285","3,792","2,955","19,570","5,272","85,621","8,982","213,319","10,452","122,647","15,074","52,153","23,722","45,997","29,827","40,508","35,157","42,776","43,858","36,016","55,922","31,951","63,054","33,314","113,899","39,293","179,005","42,590","73,976","20,065","71,518","7,878","82,389","6,245","41,120","3,501","13,514","1,962",92,175,0,0,1,1,0,0,2022-01-03 10:00
2021-12-01,1호선,4,종로3가,148,16,"2,779","2,704","3,067","11,938","4,219","22,754","7,395","68,130","11,048","64,973","16,682","53,176","28,398","53,205","35,207","54,833","42,461","54,717","49,592","50,093","58,368","41,484","62,395","35,964","73,225","31,508","90,115","31,315","50,854","14,287","41,153","6,291","47,433","5,900","24,867","3,599","7,806","2,313",76,609,1,0,0,0,0,0,2022-01-03 10:00
2021-12-01,1호선,5,종로5가,11,0,"1,426","3,467","2,534","14,894","4,517","39,442","7,321","96,747","10,056","60,572","15,980","46,326","25,035","46,081","32,242","44,952","38,174","41,718","46,762","41,253","53,219","35,702","57,431","29,568","75,568","24,901","91,528","21,410","43,283","11,267","30,303","5,268","27,004","4,918","13,442","2,824","3,440","1,564",17,416,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,1호선,6,동대문,803,15,"12,276","1,913","8,716","5,492","13,464","10,014","18,832","21,879","16,495","20,889","14,912","18,816","16,411","20,372","19,114","20,473","20,830","20,188","23,345","20,221","24,025","18,935","24,577","17,681","24,426","17,084","21,648","17,667","14,558","17,404","12,493","11,780","11,616","11,104","7,600","8,620","2,617","7,679",24,"1,355",0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,1호선,7,신설동,383,6,"7,270","2,738","7,731","10,318","15,891","21,124","24,588","58,444","16,025","32,087","14,137","20,784","16,604","17,520","18,380","17,529","20,266","18,041","20,668","16,573","22,767","17,617","30,233","17,970","39,687","20,597","54,451","24,853","19,057","17,181","13,301","11,550","11,994","12,367","6,876","8,680","2,280","5,913",37,863,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,1호선,8,제기동,306,2,"4,445","1,880","7,568","7,955","18,773","17,301","28,912","36,554","19,792","26,844","21,793","32,139","28,832","38,147","35,303","41,158","37,992","42,600","41,069","43,269","45,629","35,990","42,809","27,543","38,824","22,678","33,495","24,025","14,272","16,568","9,569","10,844","8,222","11,558","4,774","8,094","1,700","4,765",20,466,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,1호선,9,청량리(서울시립대입구),981,10,"9,427","4,231","13,204","18,836","32,699","16,242","44,792","33,184","29,361","28,757","25,577","31,010","30,117","35,334","35,576","36,878","38,108","40,549","40,601","44,016","45,426","42,312","49,737","36,556","45,352","36,803","36,430","43,497","18,870","28,323","15,066","17,031","11,939","18,588","6,420","12,995","1,859","6,756",34,"1,003",1,1,0,1,0,0,2022-01-03 10:00
2021-12-01,2호선,11,시청,19,1,823,"1,497","1,519","15,147","4,732","55,779","6,526","198,099","8,767","82,926","12,348","25,320","18,839","20,977","18,354","20,504","22,020","20,660","27,532","18,690","32,647","17,193","38,216","15,258","82,165","17,629","159,301","18,454","50,960","8,327","39,156","4,816","40,584","5,128","17,811","2,828","4,347","1,761",3,107,0,1,0,0,0,0,2022-01-03 10:00
2021-12-01,2호선,12,을지로입구,58,0,"1,849","2,079","2,833","22,717","7,964","103,601","13,310","291,742","13,775","136,270","17,540","62,600","26,641","55,598","33,709","46,071","41,980","47,144","49,190","43,413","62,913","40,710","73,342","43,620","145,612","49,912","245,309","53,579","105,814","26,900","103,043","14,220","76,503","14,519","38,088","8,521","10,186","4,411",5,"1,995",0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,2호선,13,을지로3가,7,1,844,"1,604","1,912","17,227","4,712","61,562","9,438","153,211","10,033","68,272","12,623","31,587","17,333","25,528","20,672","23,633","23,007","26,166","27,403","24,617","31,277","22,818","38,420","23,851","78,542","27,266","126,260","30,511","48,983","14,411","39,841","7,357","47,022","7,425","25,570","4,624","10,033","2,347",32,255,0,0,0,0,0,0,2022-01-03 10:00
2021-12-01,2호선,14,을지로4가,3,0,856,"1,179","1,410","12,312","3,414","30,088","6,714","80,240","7,053","41,214","8,555","22,982","12,910","19,992","14,894","17,885","16,658","18,144","20,307","16,840","24,568","15,355","29,208","13,242","51,935","11,445","66,524","10,764","28,240","6,135","15,167","3,732","13,907","3,999","7,448","2,570","2,658","1,403",1,141,0,0,0,0,0,0,2022-01-03 10:00
